time,VNINDEX,VCB,BID,VIC,HPG,MSN,MWG,GAS
2017-06-14 07:00:00,0.76,16.23,10.57,15.25,5.63,35.4,22.01,31.45
2017-06-15 07:00:00,0.76,16.35,10.47,15.54,5.76,35.12,22.06,31.12
2017-06-16 07:00:00,0.76,16.35,10.44,15.8,5.85,34.27,21.94,31.45
2017-06-19 07:00:00,0.77,16.43,10.57,15.83,5.78,35.32,21.92,31.83
2017-06-20 07:00:00,0.77,16.35,10.86,15.54,5.86,34.76,22.36,31.77
2017-06-21 07:00:00,0.77,16.0,10.73,15.72,5.8,34.03,22.52,31.55
2017-06-22 07:00:00,0.77,15.77,10.49,15.47,5.83,33.7,23.28,31.17
2017-06-23 07:00:00,0.77,15.77,10.52,15.45,5.84,33.34,23.72,31.01
2017-06-26 07:00:00,0.77,15.94,10.68,15.72,5.85,34.19,23.74,31.17
2017-06-27 07:00:00,0.77,15.83,10.52,15.65,5.81,33.7,23.35,31.39
2017-06-28 07:00:00,0.77,15.75,10.55,15.6,5.82,33.7,23.16,31.84
2017-06-29 07:00:00,0.77,15.81,10.73,15.56,5.9,34.35,23.28,31.84
2017-06-30 07:00:00,0.78,15.94,10.78,15.69,6.06,34.03,23.72,32.39
2017-07-03 07:00:00,0.78,16.1,10.94,15.54,6.25,33.62,23.69,33.11
2017-07-04 07:00:00,0.78,16.02,10.73,15.43,6.25,33.54,23.85,32.78
2017-07-05 07:00:00,0.78,16.08,10.78,15.43,6.24,33.46,23.67,33.39
2017-07-06 07:00:00,0.78,16.29,10.73,15.58,6.31,33.58,23.67,33.72
2017-07-07 07:00:00,0.78,16.02,10.68,15.43,6.25,33.82,23.74,33.72
2017-07-10 07:00:00,0.77,15.77,10.41,15.1,6.27,33.62,23.39,33.5
2017-07-11 07:00:00,0.77,15.85,10.41,15.47,6.24,33.74,23.39,33.39
2017-07-12 07:00:00,0.77,15.73,10.2,15.65,6.25,33.58,23.62,34.72
2017-07-13 07:00:00,0.78,15.81,10.33,15.65,6.37,33.46,23.65,35.11
