time,VNINDEX,VCB,BID,VIC,HPG,MSN,MWG,GAS
2021-08-31,1.33,43.31,22.35,47.05,28.23,111.58,53.45,60.05
2021-09-30,1.34,42.35,22.64,44.0,30.29,117.86,61.54,65.15
2021-10-31,1.44,42.7,23.81,47.9,32.69,124.72,63.28,83.62
2021-11-30,1.48,43.09,25.48,52.5,28.03,123.32,66.89,66.03
2021-12-31,1.5,44.33,26.91,47.55,26.57,141.52,65.44,64.62
2022-01-31,1.48,50.06,34.78,48.5,24.16,118.34,63.81,73.21
2022-02-28,1.49,47.53,31.7,38.5,27.02,129.1,65.49,79.26
2022-03-31,1.49,46.18,31.55,40.6,25.82,117.68,70.21,72.74
2022-04-30,1.37,45.51,27.02,40.0,24.79,115.15,71.85,71.2
2022-05-31,1.29,44.38,25.61,39.4,19.87,111.58,69.78,79.06
2022-06-30,1.2,42.08,24.3,36.75,16.88,111.18,69.27,77.58
2022-07-31,1.21,42.02,27.06,32.0,16.27,106.1,59.09,74.17
2022-08-31,1.28,47.25,29.02,31.85,17.41,114.5,71.69,80.8
2022-09-30,1.13,41.18,24.59,27.5,16.05,99.0,62.0,75.9
2022-10-31,1.03,41.34,25.06,27.7,11.85,85.5,49.99,76.66
2022-11-30,1.05,45.56,29.81,34.8,13.93,102.0,42.72,76.04
2022-12-31,1.01,45.0,28.0,26.9,13.62,93.0,41.56,70.03
2023-01-31,1.11,51.69,32.71,28.55,16.73,101.1,45.05,73.35
2023-02-28,1.02,52.59,31.99,26.3,15.14,82.0,38.75,71.41
2023-03-31,1.06,51.41,33.51,27.5,15.74,77.8,37.35,70.38
2023-04-30,1.05,50.91,31.55,26.05,16.39,73.1,37.97,64.03
2023-05-31,1.08,52.88,31.92,26.0,16.05,72.0,37.97,64.03
2023-06-30,1.12,56.25,31.45,25.5,19.79,75.2,41.95,64.17
2023-07-31,1.22,60.83,34.24,27.55,21.34,87.3,52.52,70.1
2023-08-31,1.22,59.17,34.06,31.05,20.89,81.5,52.62,70.49
2023-09-30,1.15,58.11,32.17,23.42,19.91,76.3,51.44,77.77
2023-10-31,1.03,57.64,29.16,20.25,17.41,58.2,36.87,65.68
2023-11-30,1.09,56.25,31.76,20.88,20.1,60.5,37.65,65.59
2023-12-31,1.13,53.33,35.48,22.3,21.16,67.0,41.86,64.74
2024-01-31,1.16,58.77,39.0,21.25,21.0,64.4,44.01,64.65
2024-02-29,1.25,64.62,43.33,22.5,23.46,70.4,45.19,66.37
2024-03-31,1.28,63.02,42.6,23.82,22.9,74.2,49.98,68.77
2024-04-30,1.21,60.56,40.23,22.22,21.5,67.2,53.69,63.02
2024-05-31,1.26,57.91,38.51,21.78,23.82,76.6,62.2,68.68
2024-06-30,1.25,56.58,35.36,20.6,23.57,74.7,61.51,65.68
2024-07-31,1.25,59.24,38.92,21.15,22.65,74.1,62.9,68.51
2024-08-31,1.28,60.9,39.98,22.1,21.23,76.5,68.81,71.42
2024-09-30,1.29,61.1,40.63,21.0,21.94,75.7,67.13,68.95
2024-10-31,1.26,62.16,39.04,20.78,22.4,76.6,65.56,66.41
2024-11-30,1.25,61.96,38.22,20.25,22.28,73.2,59.64,65.56
2024-12-31,1.27,60.56,37.14,20.27,22.19,70.0,60.13,64.15
2025-01-31,1.27,61.49,39.56,20.2,22.11,68.0,59.25,63.96
2025-02-28,1.31,61.96,40.5,20.6,23.32,67.7,57.47,64.05
2025-03-31,1.31,63.59,38.32,29.0,22.28,66.8,58.16,62.92
2025-04-30,1.23,56.93,34.17,34.0,21.23,62.5,59.94,54.92
2025-05-31,1.33,56.04,35.6,49.2,21.44,62.0,61.22,61.23
2025-06-30,1.38,56.63,35.9,47.8,22.7,76.8,64.57,63.86
2025-07-31,1.5,59.81,37.43,52.75,24.95,72.5,65.3,63.77
2025-08-31,1.68,68.16,42.38,64.15,27.5,83.0,78.0,63.8
2025-09-30,1.66,61.6,39.56,87.45,28.15,81.0,77.7,60.4
2025-10-31,1.64,59.6,37.4,95.5,26.7,79.6,82.6,61.6
2025-11-30,1.69,57.4,37.1,130.2,26.55,77.4,79.9,63.4
2025-12-31,1.78,57.5,38.9,169.6,26.4,77.0,88.4,72.4
2026-01-31,1.83,70.5,53.9,140.5,26.8,84.0,92.9,117.0
2026-02-28,1.88,64.9,47.9,172.0,28.8,79.0,93.1,107.9
2026-03-31,1.67,58.1,39.4,135.0,26.9,75.5,81.8,78.3
